00001010,01000010
00001011,10010011
00001100,11111111
00001101,11111101
00001110,11000011
00001111,00110110
00010000,11111100
00010001,01110011
00010010,00001011
00010011,01010110
00010100,10011001
00010101,11010110
00010110,01001110
00010111,11110011
00011000,10000010
00011001,00001001
00011010,00100101
00011011,11110000
00011100,00000011
00011101,01001000
00011110,01100000
00011111,10110101
00100000,11001011
00100001,01111110
00100010,01000101
00100011,11010101
00100100,10001110
00100101,11011011
00100110,00000000
00100111,10010000
00101000,10110010
00101001,00110000
00101010,00101110
00101011,01111011
00101100,00010111
00101101,01110101
00101110,01101011
00101111,11011110
00110000,01010100
00110001,10011011
00110010,10100011
00110011,10111110
00110100,00010001
00110101,00111110
00110110,00100010
00110111,00011011
00111000,11101110
00111001,10100001
00111010,10001101
00111011,01011000
00111100,10101011
00111101,11100100
00111110,11001100
00111111,00111101
01000000,00110111
01000001,11100110
01000010,01011001
01000011,11101001
01000100,10010010
01000101,01100111
01000110,00111100
01000111,10101000
01001000,10101110
01001001,00001000
01001010,00110010
01001011,11000111
01001100,11101011
01001101,01001001
01001110,10010111
01001111,01000110
01010000,01101100
01010001,00100111
01010010,00011111
01010011,00100110
01010100,00101101
01010101,10100110
01010110,10111010
01010111,10100111
01011000,11110010
01011001,10111101
01011010,10110001
01011011,01100100
01011100,01010111
01011101,11011000
01011110,11110100
01011111,00100001
01100000,11011111
01100001,10001010
01100010,11010001
01100011,01000001
01100100,01111010
01100101,11001111
01100110,10010100
01100111,00000100
01101000,11000010
01101001,10100100
01101010,11011010
01101011,01101111
01101100,01000011
01101101,11100001
01101110,01111111
01101111,00101010
01110000,11000000
01110001,10001111
01110010,11110111
01110011,01001010
01110100,10000101
01110101,11001010
01110110,01010010
01110111,00001111
01111000,00011010
01111001,00110101
01111010,00111001
01111011,11001000
01111100,10111111
01111101,01110000
01111110,01011100
01111111,10001001
10000000,11000101
10000001,00010000
10000010,01001011
10000011,01011011
10000100,10000000
10000101,01010101
10000110,00001110
10000111,11111110
10001000,10011100
10001001,01011110
10001010,00100000
10001011,11110101
10001100,11111001
10001101,11111011
10001110,01100101
10001111,10110000
10010000,00111010
10010001,00010101
10010010,10101101
10010011,11010000
10010100,10011111
10010101,01010000
10010110,11101100
10010111,10010101
10011000,11100000
10011001,10101111
10011010,10000011
10011011,01110110
10011100,10100101
10011101,11101010
10011110,00000010
10011111,11010011
10100000,01101101
10100001,10111000
10100010,11100011
10100011,10110011
10100100,00101100
10100101,11011101
10100110,01100010
10100111,00010110
10101000,00110100
10101001,10110110
10101010,10001100
10101011,01111101
10101100,01110001
10101101,00010011
10101110,11001101
10101111,00011000
10110000,11010010
10110001,10011101
10110010,00000101
10110011,01111000
10110100,01110111
10110101,11111000
10110110,01000000
10110111,00011101
10111000,01001100
10111001,00000111
10111010,00101011
10111011,10011110
10111100,00001101
10111101,10000110
10111110,01101110
10111111,00111011
11000000,01010001
11000001,10000100
11000010,01011111
11000011,01001111
11000100,00010100
11000101,11000001
11000110,11111010
11000111,00001010
11001000,00001100
11001001,10101010
11001010,10110100
11001011,01100001
11001100,01001101
11001101,11101111
11001110,11110001
11001111,00100100
11010000,11001110
11010001,10000001
11010010,00011001
11010011,01000100
11010100,10001011
11010101,11000100
11010110,01111100
11010111,00000001
11011000,01110100
11011001,10111011
11011010,11010111
11011011,00000110
11011100,00110001
11011101,00011110
11011110,01110010
11011111,10000111
11100000,11011001
11100001,00101000
11100010,10110111
11100011,11100111
11100100,10111100
11100101,01101001
11100110,00010010
11100111,01100110
11101000,10100000
11101001,11000110
11101010,00011100
11101011,11001001
11101100,11100101
11101101,01000111
11101110,01111001
11101111,10001000
11110000,10100010
11110001,00101001
11110010,10010001
11110011,11101000
11110100,00100011
11110101,01101000
11110110,11010100
11110111,10101001
11111000,11011100
11111001,01010011
11111010,00111111
11111011,01101010
11111100,10111001
11111101,11110110
11111110,10011010
